gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-314810-9476479163,314810,6STAUNTN_314810,38.100152,-78.964714,2.9,230.0,EIA_MMWG_FUZZY,VA
generator-314810-2550120485,314810,6STAUNTN_314810,38.0945,-78.9595,3,230.0,EIA_MMWG_FUZZY,VA
generator-314828-5400403152,314828,6CHCKT_1,36.880181,-76.609312,20,230.0,EIA_MMWG_FUZZY,VA
generator-314839-5856680973,314839,3BUST TAP_314839,37.906257,-79.403869,2.5,115.0,EIA_MMWG_FUZZY,VA
generator-314846-4919688773,314846,3FAIRFLD,37.895877,-79.33531,140,115.0,EIA_MMWG_FUZZY,VA
generator-314849-1654445278,314849,3GOSHEN_314849,37.99997,-79.56874,5,115.0,EIA_MMWG_FUZZY,VA
generator-314889-5515803806,314889,3MERCK_1_314889,38.3836,-78.6528,2.5,115.0,EIA_MMWG_FUZZY,VA
generator-314914-5787092104,314914,8MDLTHAN_314914,37.46754,-77.733521,5,500.0,EIA_MMWG_FUZZY,VA
generator-314934-9048208853,314934,8SPOTSYL,38.247123,-77.786223,20,500.0,EIA_ONLY,VA
generator-315219-8679176250,315219,1CUNINGD_315219,37.8893,-78.323,5,22.0,EIA_MMWG_FUZZY,VA
generator-315608-7245393367,315608,3AA2-088SOLA_315608,36.614,-77.166,100,115.0,EI_EIA2PF,VA
generator-315616-9793111570,315616,AA1-038_C_315616,37.878085,-79.396921,5,0.69,EIA_MMWG_FUZZY,VA
generator-316003-1346978987,316003,AC1-222 GEN_316003,36.839909,-78.938199,64.7,0.6,EI_EIA2PF,VA
generator-316006-6400428033,316006,AB2-029 C_316006,36.72,-77.66,20.20516458730292,230.0,EI_MMWG,VA
generator-316033-5218066057,316033,AB2-134 GEN_316033,37.138889,-76.902222,142.4,0.63,EI_EIA2PF,VA
generator-316034-1426543497,316034,AC1-036 C_316034,37.018427,-78.581272,13.8,115.0,EI_EIA2PF,VA
generator-316034-4210433896,316034,AC1-036 C,37.04,-78.58,167,115.0,EIA_MMWG_FUZZY,VA
generator-316035-1625123072,316035,AC1-116 C_316035,37.87,-78.52,12.595856501246748,230.0,EI_MMWG,VA
generator-316036-5749072602,316036,AC1-147 C_316036,36.65,-76.35,20,115.0,EI_EIA2PF,VA
generator-316037-4178004799,316037,AC1-158 MAIN,38.247123,-77.786223,165,500.0,EIA_ONLY,VA
generator-316044-6353086067,316044,AC1-158 C1_316044,38.247123,-77.786223,75,0.6,EI_EIA2PF,VA
generator-316045-4266108791,316045,AC1-158 C2_316045,38.247123,-77.786223,240,0.6,EI_EIA2PF,VA
generator-316059-1258511496,316059,AD1-063 C_316059,37.57245,-76.46734,15,230.0,EI_EIA2PF,VA
generator-316072-5408447207,316072,AD1-144_316072,36.79,-76.67,15,230.0,EI_EIA2PF,VA
generator-316075-6516274956,316075,AC2-137 C_316075,37.52364,-77.26358,20,230.0,EI_EIA2PF,VA
generator-316077-8381116439,316077,AC2-138 C_316077,38.006741,-76.606956,14,115.0,EI_EIA2PF,VA
generator-316085-9578121645,316085,3IVORY LANE,36.6867,-77.558,100,115.0,EIA_ONLY,VA
generator-316087-5278122027,316087,AB2-174 GEN_316087,36.64,-77.57,80,0.4,EI_EIA2PF,VA
generator-316093-4953188129,316093,AE2-104_GEN,36.676484,-76.585876,70,0.39,EIA_MMWG_EXACT,VA
generator-316116-7742746539,316116,AC1-105 MAIN,36.789678,-79.0,95,115.0,EIA_MMWG_EXACT,VA
generator-316123-2451501708,316123,AC1-075 G1_316123,37.016375,-79.027061,80,0.63,EI_EIA2PF,VA
generator-316131-2952778884,316131,AB2-060 GEN_316131,36.85,-78.45,80,0.63,EI_EIA2PF,VA
generator-316132-3988467829,316132,AB2-190 C_316132,37.26,-77.08,150,0.63,EI_EIA2PF,VA
generator-316159-6986084617,316159,AE1-175 C_316159,37.35,-76.76,19.9,230.0,EI_EIA2PF,VA
generator-316164-9847987139,316164,AC1-076 GEN_316164,38.28775,-77.840046,62.5,0.6,EI_EIA2PF,VA
generator-316165-9000043391,316165,AC1-164 MAIN,37.4371,-77.1587,120,230.0,EIA_MMWG_FUZZY,VA
generator-316181-3428646859,316181,AB2-040 GEN_316181,36.59,-77.67,80,0.6,EI_EIA2PF,VA
generator-316185-6248538128,316185,AD1-033 GEN_316185,36.7,-76.1647,70,0.6,EI_EIA2PF,VA
